DS	TC	SGMT	NUM_TXN	TXN_SIZ	THRD_CT	TIME	ABRTS
SEGME	19	16	10000	2	2	89112	0
COMPA	01	16	10000	2	2	214295593	0
COMPA	02	16	10000	2	2	210592765	0
COMPA	03	16	10000	2	2	163074670	110
COMPA	04	16	10000	2	2	225539179	0
COMPA	05	16	10000	2	2	221582266	0
COMPA	06	16	10000	2	2	221892443	0
COMPA	07	16	10000	2	2	223544802	0
COMPA	08	16	10000	2	2	222535238	0
COMPA	09	16	10000	2	2	223042269	0
COMPA	10	16	10000	2	2	222610960	0
COMPA	11	16	10000	2	2	257993545	318
COMPA	12	16	10000	2	2	270917515	365
COMPA	13	16	10000	2	2	272707095	359
COMPA	14	16	10000	2	2	254010880	109
COMPA	15	16	10000	2	2	239060734	197
COMPA	16	16	10000	2	2	335868740	0
COMPA	17	16	10000	2	2	352834987	0
COMPA	18	16	10000	2	2	363828506	0
COMPA	19	16	10000	2	2	93612	0
BOOST	01	16	10000	2	2	210854288	0
BOOST	02	16	10000	2	2	206247814	0
BOOST	03	16	10000	2	2	162681991	0
BOOST	04	16	10000	2	2	208065372	0
BOOST	05	16	10000	2	2	208212788	0
BOOST	06	16	10000	2	2	207510444	0
BOOST	07	16	10000	2	2	214860795	0
BOOST	08	16	10000	2	2	208450791	0
BOOST	09	16	10000	2	2	209644641	0
BOOST	10	16	10000	2	2	206882403	0
BOOST	11	16	10000	2	2	262019352	0
BOOST	12	16	10000	2	2	271891675	0
BOOST	13	16	10000	2	2	278272210	0
BOOST	14	16	10000	2	2	221747310	0
BOOST	15	16	10000	2	2	228593347	0
BOOST	16	16	10000	2	2	332923580	0
BOOST	17	16	10000	2	2	359863792	0
BOOST	18	16	10000	2	2	357837436	0
BOOST	19	16	10000	2	2	85932	0
STMVE	01	16	10000	2	2	9133223	0
STMVE	02	16	10000	2	2	8261814	0
STMVE	03	16	10000	2	2	9393279	2337
STMVE	04	16	10000	2	2	9570883	0
STMVE	05	16	10000	2	2	9053541	0
STMVE	06	16	10000	2	2	9772467	0
STMVE	07	16	10000	2	2	9789207	0
STMVE	08	16	10000	2	2	9713815	0
STMVE	09	16	10000	2	2	9681384	0
STMVE	10	16	10000	2	2	9881079	0
STMVE	11	16	10000	2	2	12530947	0
STMVE	12	16	10000	2	2	13018357	0
STMVE	13	16	10000	2	2	13089599	0
STMVE	14	16	10000	2	2	11540224	0
STMVE	15	16	10000	2	2	11987874	0
STMVE	16	16	10000	2	2	14176601	0
STMVE	17	16	10000	2	2	16146314	0
STMVE	18	16	10000	2	2	13841593	0
STMVE	19	16	10000	2	2	94582	2
SEGME	01	16	10000	3	2	18770001	0
SEGME	02	16	10000	3	2	15721683	0
SEGME	03	16	10000	3	2	15443605656	0
SEGME	04	16	10000	3	2	45761821	0
SEGME	05	16	10000	3	2	41878156	0
SEGME	06	16	10000	3	2	43623492	0
SEGME	07	16	10000	3	2	44063770	0
SEGME	08	16	10000	3	2	43363284	0
SEGME	09	16	10000	3	2	44505287	0
SEGME	10	16	10000	3	2	43042335	0
SEGME	11	16	10000	3	2	15470460637	8
SEGME	12	16	10000	3	2	15457825301	22
SEGME	13	16	10000	3	2	15449806546	6
SEGME	14	16	10000	3	2	15463569926	3
SEGME	15	16	10000	3	2	15464781871	2
SEGME	16	16	10000	3	2	15447548442	0
